#,Naam,Buy order,Sell offer,Profit/item,Margin,Volume/wk,Score
1072,Bejeweled Handle,162.8K,181.4K,16.4K,10.3%,19.8K,0.518
1073,Compost,16.5K,17.2K,523,4.3%,2.88M,0.518
1074,Raw Fish:2,6,20,13,66.1%,321.1K,0.517
1075,Meteor Shard,550.0K,1.50M,931.2K,63.3%,11,0.517
1076,Shard Bitbug,1.99M,2.32M,301.0K,14.2%,669,0.517
1077,Searing Stone,100.0K,200.0K,97.5K,50.0%,145,0.517
1078,Plasma Bucket,8.70M,9.28M,466.4K,6.3%,2.4K,0.517
1079,Shard Verdant,2.0K,2.3K,270,13.0%,536.0K,0.517
1080,Shellfruit,68.6K,89.7K,20.0K,23.6%,2.9K,0.517
1081,Enchantment Hardened Mana 9,1.84M,9.15M,7.20M,79.9%,1,0.517
1082,Enchantment Charm 3,4,1000.0K,987.5K,100.0%,4,0.517
1083,Shard Grove,141.7K,170.0K,26.2K,16.6%,4.6K,0.517
1084,Enchantment Turbo Potato 5,46.2K,184.6K,136.1K,75.0%,45,0.517
1085,Flawless Aquamarine Gem,1.38M,1.51M,105.7K,8.3%,5.2K,0.517
1086,Fine Amethyst Gem,25.8K,28.2K,2.1K,8.6%,186.7K,0.516
1087,Enchantment Mana Vampire 8,4.55M,14.53M,9.80M,68.7%,0,0.516
1088,Rusty Anchor,1.00M,7.07M,5.99M,85.9%,0,0.516
1089,Sponge,30,63,32,52.8%,208.7K,0.516
1090,Dayswitch,6.2K,100.0K,92.5K,93.8%,40,0.516
1091,Enchantment Blast Protection 7,1.15M,1.84M,664.8K,37.4%,42,0.516
1092,Wither Catalyst,1.14M,1.21M,54.3K,5.7%,19.9K,0.516
1093,Enchantment Expertise 1,3.30M,4.00M,647.5K,17.4%,202,0.516
1094,Enchanted Carrot Stick,61,50.0K,49.3K,99.9%,62,0.516
1095,Enchantment Respite 4,25,2.00M,1.97M,100.0%,2,0.516
1096,Hardened Wood,5.0K,120.0K,113.5K,95.8%,31,0.516
1097,Enchanted Fig Log,1.1K,1.2K,94,9.3%,2.68M,0.516
1098,Lushlilac,0,2,2,95.6%,758.7K,0.516
1099,Enchantment Overload 2,730.0K,1.60M,853.0K,54.5%,15,0.516
1100,Raw Fish:3,6,16,9,59.4%,482.6K,0.516
1101,Huge Mushroom 2,41,234,189,82.3%,15.8K,0.515
1102,Enchantment Ultimate Chimera 2,52.56M,77.26M,23.73M,32.0%,2,0.515
1103,Shard Lapis Creeper,125.0K,157.5K,30.5K,20.6%,2.4K,0.515
1104,Perfect Topaz Gem,13.06M,14.02M,781.8K,6.8%,1.1K,0.515
1105,Enchanted Wool,251,311,56,19.4%,927.9K,0.515
1106,Shard Hideonring,990.8K,1.10M,95.5K,9.9%,3.7K,0.515
1107,Shard Flare,28.0K,31.0K,2.6K,9.6%,113.5K,0.515
1108,Spotlite,27.00M,33.00M,5.59M,18.2%,24,0.515
1109,Daedalus Stick,892.9K,1.26M,348.9K,29.0%,121,0.515
1110,Flawed Amethyst Gem,294,779,475,62.2%,11.6K,0.515
1111,Lesser Soulflow Engine,1.18M,1.45M,256.5K,18.9%,385,0.515
1112,Enchantment Charm 2,0,900.0K,888.7K,100.0%,4,0.515
1113,Enchantment Forest Pledge 5,1.30M,1.69M,371.0K,23.2%,180,0.515
1114,Giant Witch Cauldron,150.00M,211.96M,59.32M,29.2%,1,0.515
1115,Fourth Master Star,61.53M,64.83M,2.48M,5.1%,684,0.515
1116,Arachne Fragment,24.0K,28.0K,3.7K,14.4%,34.1K,0.515
1117,Enchantment Experience 5,23.00M,30.00M,6.62M,23.3%,12,0.514
1118,Enchantment Rejuvenate 1,14.1K,17.1K,2.8K,17.8%,28.1K,0.514
1119,Shard Cuboa,200.0K,250.0K,46.9K,20.0%,1.6K,0.514
1120,Blaze Wax,151.8K,268.6K,113.5K,43.5%,145,0.514
1121,Wooden Bait,75.0K,86.8K,10.7K,13.6%,14.0K,0.514
1122,Agatha Coupon,10.0K,10.7K,541,6.3%,1.07M,0.514
1123,Enchantment Mana Vampire 5,803.3K,893.2K,78.7K,10.1%,4.0K,0.514
1124,Enchantment Mana Vampire 7,2.57M,5.75M,3.11M,55.3%,4,0.514
1125,Enchantment Toxophilite 1,3.34M,4.00M,615.0K,16.6%,211,0.514
1126,Flawless Amber Gem,2.39M,2.56M,139.7K,6.7%,5.3K,0.513
1127,Shard Fenlord,166.3K,250.0K,80.6K,33.5%,326,0.513
1128,Diamond,5,7,2,35.6%,4.16M,0.513
1129,Presumed Gallon Of Red Paint,784.6K,1.74M,937.8K,55.0%,12,0.513
1130,Concentrated Stone,300.4K,335.1K,30.5K,10.4%,8.8K,0.513
1131,Enchantment Ultimate No Pain No Gain 5,1.0K,200.0K,196.5K,99.5%,15,0.513
1132,Shard Stalagmight,459.6K,534.8K,68.5K,14.1%,2.2K,0.513
1133,Medium Witch Cauldron,28.60M,38.86M,9.77M,26.4%,6,0.513
1134,Glossy Gemstone,1.41M,1.49M,60.7K,5.3%,17.9K,0.513
1135,Enchantment Champion 1,3.48M,4.04M,504.9K,13.8%,352,0.512
1136,Livid Fragment,111.2K,123.5K,10.7K,9.9%,24.7K,0.512
1137,Chloronite,372.8K,440.0K,61.7K,15.3%,2.0K,0.512
1138,Spirit Wing,2.65M,2.92M,232.1K,9.2%,1.6K,0.512
1139,Bachelor Rose,793.8K,949.9K,144.3K,16.4%,759,0.512
1140,Enchanted Diamond,1.2K,1.3K,66,6.3%,6.83M,0.512
1141,Enchantment Prosecute 6,75.48M,84.00M,7.47M,10.1%,52,0.512
1142,Omega Egg,33.3K,55.4K,21.4K,39.9%,726,0.512
1143,Enchantment Quick Bite 4,20.00M,38.00M,17.52M,47.4%,1,0.512
1144,Enchantment Respiration 4,3.24M,4.36M,1.07M,25.9%,46,0.511
1145,Enchanted Redstone Block,24.9K,26.7K,1.4K,6.6%,352.5K,0.511
1146,Crude Gabagool,251,384,128,34.7%,110.8K,0.511
1147,Old Leather Boot,181.2K,223.5K,39.6K,19.0%,1.8K,0.511
1148,Rough Citrine Gem,0,7,6,97.2%,204.6K,0.511
1149,Divan Powder Coating,52.20M,57.58M,4.66M,9.3%,93,0.511
1150,Pyroclastic Scale,1,69,67,98.6%,23.2K,0.511
1151,Generator Upgrade Stone Fishing 12,19.66M,26.67M,6.67M,26.3%,8,0.511
1152,Enchanted Umber,15.6K,16.8K,973,7.0%,433.8K,0.511
1153,Enchantment Ultimate Combo 4,1.3K,160.7K,157.4K,99.2%,17,0.511
1154,Molten Cube,310,24.9K,24.3K,98.8%,97,0.511
1155,Architect First Draft,61.8K,71.0K,8.3K,12.9%,16.8K,0.511
1156,Rock Candy,60.0K,75.0K,14.1K,20.0%,4.2K,0.510
1157,Polarvoid Book,2.51M,2.94M,395.1K,14.7%,353,0.510
1158,Exp Bottle,10,31,21,68.4%,137.8K,0.510
1159,Tungsten Plate,14.25M,15.16M,724.3K,6.0%,1.2K,0.510
1160,Enchanted Golden Carrot,77.9K,81.5K,2.6K,4.4%,442.5K,0.510
1161,Great White Shark Tooth,1.33M,1.50M,147.1K,11.1%,1.6K,0.510
1162,Enchantment Ultimate Reiterate 1,1.19M,1.30M,92.4K,8.4%,4.2K,0.510
1163,Enchantment Corruption 5,26.0K,151.7K,123.8K,82.9%,29,0.510
1164,Subzero Inverter,2.26M,2.75M,457.2K,17.9%,198,0.509
1165,Rough Amethyst Gem,1,6,5,78.0%,376.0K,0.509
1166,Enchantment Ferocious Mana 7,600.0K,4.74M,4.08M,87.3%,1,0.509
1167,Enchantment Big Brain 3,16.00M,24.99M,8.68M,36.0%,3,0.509
1168,Kuudra Mandible,484.8K,619.8K,127.3K,21.8%,421,0.509
1169,Treasurite,70.1K,75.3K,4.3K,7.0%,100.0K,0.509
1170,Healing Tissue,6.0K,8.5K,2.4K,29.8%,8.5K,0.508
1171,Great Carrot Candy,175.0K,207.6K,30.0K,15.7%,3.0K,0.508
1172,Cropshot Garden Chip,672.9K,760.0K,77.6K,11.5%,2.4K,0.508
1173,Enchanted Obsidian,2.2K,2.3K,117,6.3%,3.31M,0.507
1174,Enchanted Shark Fin,40.7K,50.2K,8.9K,19.0%,6.2K,0.507
1175,Shard Xyz,49.6K,56.2K,5.9K,11.7%,24.4K,0.507
1176,Shard Chameleon,1.87M,1.97M,78.7K,5.2%,11.3K,0.507
1177,Enchantment Vicious 3,14.79M,20.00M,4.96M,26.0%,9,0.507
1178,Shark Water Orb,930.0K,3.50M,2.53M,73.4%,2,0.507
1179,Magma Bucket,2.91M,3.12M,179.5K,7.0%,2.9K,0.507
1180,Rough Peridot Gem,4,14,9,67.3%,258.6K,0.507
1181,Generator Upgrade Stone Tarantula 12,14.80M,28.50M,13.34M,48.1%,0,0.507
1182,Titanoboa Shed,120.00M,138.00M,16.27M,13.0%,12,0.506
1183,Enchantment Critical 7,86.74M,94.88M,6.96M,8.6%,62,0.506
1184,Enchantment Charm 5,472.1K,1.17M,685.4K,59.7%,10,0.506
1185,Enchantment Ultimate Habanero Tactics 4,110.51M,119.05M,7.05M,7.2%,88,0.506
1186,Enchantment Turbo Cactus 4,1.0K,286.0K,281.4K,99.7%,8,0.506
1187,Magma Lord Fragment,4.32M,4.65M,270.0K,7.1%,1.9K,0.506
1188,Yellow Flower,148,171,20,13.2%,3.48M,0.506
1189,Enchantment Overload 1,574.8K,636.2K,53.5K,9.7%,4.4K,0.506
1190,Enchantment Turbo Cane 5,89.2K,350.7K,257.1K,74.6%,15,0.505
1191,Enchanted Sugar Cane,101.1K,105.5K,3.1K,4.2%,331.0K,0.505
1192,Compacted Sunflower,100.2K,104.4K,2.9K,4.0%,395.0K,0.505
1193,Second Master Star,17.55M,18.56M,774.3K,5.4%,1.1K,0.505
1194,Capsaicin Eyedrops No Charges,1.23M,1.50M,249.7K,17.9%,281,0.505
1195,Clipped Wings,17.6K,25.6K,7.7K,31.3%,2.3K,0.505
1196,Jalapeno Book,17.00M,21.97M,4.70M,22.6%,11,0.504
1197,Magma Fish Gold,537.1K,587.1K,42.6K,8.5%,6.4K,0.504
1198,Tarantula Web,1.6K,1.8K,137,9.0%,1.16M,0.503
1199,Flawed Aquamarine Gem,284,499,209,43.1%,31.5K,0.503
1200,Hemoglass,17.0K,18.5K,1.2K,8.0%,190.2K,0.503
1201,Endstone Idol,46.99M,52.10M,4.46M,9.8%,62,0.503
1202,Enchantment Respite 2,3,100.0K,98.7K,100.0%,18,0.503
1203,Shard Ananke,929.3K,1.20M,256.8K,22.6%,155,0.503
1204,Enchantment Ultimate Combo 3,0,75.0K,74.1K,100.0%,23,0.502
1205,Shadow Warp Scroll,213.48M,220.62M,4.38M,3.2%,582,0.502
1206,Enchanted Iron Block,49.6K,53.0K,2.8K,6.5%,127.0K,0.501
1207,Enchanted Packed Ice,36.9K,39.5K,2.1K,6.6%,158.6K,0.501
1208,Oceandy,263,4.7K,4.3K,94.3%,344,0.501
1209,Salt Cube,18.0K,79.7K,60.7K,77.4%,44,0.501
1210,Flawed Topaz Gem,334,728,384,54.0%,10.1K,0.501
1211,Shard Shellwise,80.5K,85.0K,3.5K,5.3%,151.3K,0.501
1212,Enchantment Mana Steal 1,10.1K,15.5K,5.2K,34.9%,2.2K,0.501
1213,Enchanted Brown Mushroom,1.6K,1.6K,55,4.7%,8.94M,0.500
1214,Fighting Booster,851.1K,1.20M,329.7K,28.8%,67,0.500
1215,Blessed Fruit,870.4K,1.08M,192.3K,19.1%,256,0.500
1216,Small Enchanted Chest,200,807,596,75.2%,3.3K,0.500
1217,Enchanted Coal Block,27.1K,29.4K,2.0K,7.9%,105.7K,0.499
1218,Perfect Citrine Gem,10.00M,10.71M,576.9K,6.6%,776,0.499
1219,Golden Tooth,158.8K,173.0K,12.1K,8.2%,17.9K,0.499
1220,Undead Catalyst,637,2.3K,1.6K,72.3%,1.3K,0.499
1221,Mite Gel,1.9K,2.2K,310,15.1%,151.4K,0.499
1222,Wriggling Larva,239.2K,267.5K,25.0K,10.6%,5.2K,0.498
1223,Enchantment Infinite Quiver 8,2.7K,40.0K,36.8K,93.2%,42,0.498
1224,Tool Exp Capsule,97.4K,102.4K,3.7K,4.9%,146.7K,0.498
1225,Flawed Jade Gem,306,503,190,39.2%,32.4K,0.498
1226,Null Atom,31.3K,40.0K,8.2K,21.9%,3.2K,0.497
1227,Enchantment Turbo Carrot 5,330.3K,557.4K,220.2K,40.8%,42,0.497
1228,Enchanted Wild Rose,611,660,40,7.4%,4.06M,0.497
1229,Eccentric Painting,7.32M,8.03M,610.9K,8.9%,368,0.497
1230,Sulphur Ore,4,10,6,61.7%,288.1K,0.497
1231,Enchantment Turbo Rose 4,468.1K,2.95M,2.44M,84.1%,1,0.497
1232,Scarf Fragment,8.1K,10.3K,2.0K,20.7%,13.1K,0.497
1233,Power Crystal,503.5K,594.4K,83.4K,15.3%,730,0.496
1234,Zombud,65.8K,72.2K,5.5K,8.9%,27.2K,0.496
1235,Essence Ice,1.9K,2.0K,81,5.4%,3.65M,0.495
1236,Umber Key,3.23M,3.39M,115.7K,4.7%,5.8K,0.495
1237,Soul Fragment,347.1K,378.7K,26.8K,8.3%,6.8K,0.495
1238,Fuel Tank,221.5K,249.9K,25.3K,11.4%,3.8K,0.495
1239,Enchanted Baked Potato,73.8K,76.2K,1.4K,3.0%,870.5K,0.495
1240,Young Fragment,7.8K,8.4K,536,7.6%,309.7K,0.495
1241,Leather Cloth,45.7K,51.5K,5.1K,11.2%,17.0K,0.495
1242,Enchantment Snipe 4,39.80M,44.32M,3.96M,10.2%,43,0.494
1243,Squash,73.8K,77.2K,2.4K,4.4%,233.5K,0.494
1244,Jaderald,3.00M,3.20M,164.9K,6.4%,2.1K,0.494
1245,Bayou Water Orb,7.93M,11.50M,3.42M,31.0%,5,0.494
1246,Wet Water,100,1.3K,1.2K,92.4%,859,0.494
1247,Enchanted Potato,454,479,19,5.2%,14.28M,0.494
1248,Unstable Fragment,7.8K,8.4K,536,7.6%,300.8K,0.494
1249,Very Crude Gabagool,47.5K,49.8K,1.7K,4.6%,287.4K,0.494
1250,Enchantment Ultimate Flash 5,69.00M,95.00M,24.81M,27.4%,0,0.494
1251,Enchantment Turbo Coco 4,1,207.0K,204.4K,100.0%,6,0.493
1252,Dungeon Trap,200,508,302,60.6%,7.1K,0.493
1253,Shard King Cobra,168.5K,190.0K,19.1K,11.3%,4.7K,0.493
1254,Enchanted Cooked Rabbit,100.0K,108.9K,7.6K,8.2%,21.4K,0.493
1255,Flawless Citrine Gem,1.30M,1.38M,67.9K,6.2%,5.0K,0.493
1256,Fire In A Bottle,88.8K,105.0K,14.9K,15.4%,3.1K,0.493
1257,First Master Star,11.38M,11.91M,379.2K,4.4%,1.9K,0.493
1258,Enchantment Hardened Mana 2,9.8K,30.0K,19.9K,67.5%,111,0.492
1259,Enchantment Ultimate Legion 1,1.99M,2.07M,56.5K,4.0%,13.3K,0.491
1260,Flawless Jasper Gem,5.19M,5.45M,198.1K,4.9%,2.7K,0.491
1261,Bobbin Scriptures,211.4K,267.8K,53.0K,21.0%,465,0.491
1262,Enchanted Ender Pearl,316,367,46,13.9%,740.2K,0.491
1263,Enchantment Turbo Moonflower 4,1.74M,5.00M,3.20M,65.2%,1,0.491
1264,Rock Gemstone,4.25M,5.39M,1.07M,21.1%,28,0.491
1265,Ftx 3070,120.0K,132.3K,10.7K,9.3%,10.6K,0.491
1266,Spirit Bone,3.69M,3.90M,162.6K,5.4%,2.5K,0.490
1267,Shard Titanoboa,310.4K,374.5K,59.4K,17.1%,598,0.490
1268,Shard Alligator,316.0K,369.4K,48.8K,14.5%,1.0K,0.490
1269,Enchantment Ultimate Rend 3,100.0K,1.47M,1.35M,93.2%,0,0.489
1270,Ultimate Carrot Candy,2.45M,2.62M,145.3K,6.8%,1.7K,0.489
1271,Shard Sphinx,61.7K,75.5K,12.8K,18.2%,2.1K,0.489
1272,Log:2,1,2,1,46.6%,1.48M,0.488
1273,Rough Onyx Gem,0,4,4,89.8%,129.4K,0.488
1274,Heavy Gabagool,287.4K,355.6K,63.7K,19.2%,406,0.488
1275,Crystal Fragment,112.0K,120.7K,7.1K,7.2%,23.0K,0.488
1276,Shard Hideongeon,1.66M,1.82M,141.1K,9.0%,897,0.487
1277,Purple Candy,19.5K,20.3K,533,3.9%,884.0K,0.487
1278,Enchantment Quick Bite 5,45.50M,57.00M,10.79M,20.2%,3,0.487
1279,Wood Singularity,3.90M,4.40M,441.3K,11.3%,187,0.486
1280,Enchantment Tabasco 3,7.78M,9.12M,1.22M,14.7%,42,0.486
1281,Enchanted Blaze Rod,242.6K,254.5K,8.7K,4.7%,43.5K,0.486
1282,Enchantment Ultimate Last Stand 3,383.3K,549.5K,159.4K,30.3%,63,0.486
1283,Worm Membrane,51.6K,54.0K,1.7K,4.4%,223.1K,0.486
1284,Enchantment Turbo Coco 3,25.0K,141.1K,114.3K,82.3%,11,0.486
1285,Shriveled Cornea,59.38M,75.00M,14.68M,20.8%,2,0.486
1286,Shard Beaconmite,210.0K,240.0K,27.0K,12.5%,2.0K,0.486
1287,Refined Titanium,500.0K,519.8K,13.3K,3.8%,43.4K,0.486
1288,Enchantment Turbo Sunflower 4,1.99M,5.00M,2.95M,60.2%,0,0.486
1289,Inferno Fuel Block,48.5K,52.0K,2.8K,6.7%,57.4K,0.485
1290,Enchanted Cookie,74.8K,77.8K,2.1K,3.9%,231.5K,0.485
1291,Shard Ghost,13.1K,13.8K,538,5.2%,450.8K,0.485
1292,Compacted Wild Rose,100.3K,103.5K,1.9K,3.1%,410.9K,0.485
1293,Flawed Amber Gem,352,440,83,20.1%,153.4K,0.485
1294,Enchantment Strong Mana 10,72.20M,94.90M,21.52M,23.9%,1,0.485
1295,Enchanted Seeds,444,479,29,7.3%,3.10M,0.484
1296,Cropie,24.2K,25.2K,665,3.9%,620.7K,0.484
1297,Enchantment Reflection 5,6.50M,7.65M,1.05M,15.0%,41,0.484
1298,Shard Heron,151.0K,182.8K,29.5K,17.4%,808,0.483
1299,Colossal Exp Bottle,1.70M,1.80M,81.1K,5.8%,2.9K,0.482
1300,Shard Inferno Koi,165.3K,189.0K,21.4K,12.6%,2.0K,0.482
1301,Enchanted Glowstone,50.1K,52.9K,2.1K,5.3%,101.7K,0.482
1302,Timestalk,1.89M,2.04M,126.7K,7.5%,1.1K,0.482
1303,Foraging Wisdom Booster,24.1K,27.5K,3.1K,12.4%,12.6K,0.482
1304,Radioactive Vial,56.57M,60.97M,3.63M,7.2%,53,0.481
1305,Magma Fish Silver,6.4K,6.9K,379,6.7%,299.2K,0.481
1306,Alligator Skin,401.1K,425.3K,18.9K,5.7%,11.1K,0.481
1307,Enchantment Hardened Mana 10,9.00M,15.00M,5.81M,40.0%,1,0.481
1308,Shard Megalith,176.2K,197.0K,18.3K,10.6%,3.2K,0.480
1309,Umber,90,226,133,60.2%,8.6K,0.480
1310,Flawed Opal Gem,154,494,333,68.8%,2.8K,0.480
1311,Flycatcher Upgrade,28.21M,29.42M,845.1K,4.1%,602,0.480
1312,Enchantment Ultimate Bobbin Time 3,38.77M,47.00M,7.65M,17.5%,4,0.480
1313,Synthetic Heart,260.1K,278.2K,14.6K,6.5%,10.2K,0.480
1314,Null Edge,346.5K,449.5K,97.4K,22.9%,130,0.479
1315,Enchanted Fermented Spider Eye,70.0K,74.5K,3.6K,6.0%,43.0K,0.479
1316,Shard Fungloom,143.0K,190.0K,44.6K,24.7%,224,0.479
1317,Absolute Ender Pearl,12.5K,13.5K,818,7.3%,108.8K,0.478
1318,Amber Material,1.98M,2.60M,590.3K,23.9%,21,0.478
1319,Robotron Reflector,227.3K,243.5K,13.1K,6.6%,9.6K,0.477
1320,Highlite,1.30M,1.40M,82.5K,7.1%,1.5K,0.477
1321,Glowstone Dust Distillate,2.8K,12.6K,9.7K,78.0%,82,0.477
1322,Enchantment Turbo Sunflower 5,6.43M,7.79M,1.26M,17.5%,19,0.477
1323,Enchantment Power 7,88.44M,93.61M,4.00M,5.5%,69,0.477
1324,Fly Swatter,475.5K,550.4K,68.0K,13.6%,476,0.477
1325,Flint,5,10,4,48.0%,264.2K,0.477
1326,Chili Pepper,112.2K,116.2K,2.6K,3.5%,162.1K,0.477
1327,Enchanted Nether Stalk,616,645,21,4.6%,7.95M,0.477
1328,Enchantment Turbo Cactus 2,5,20.0K,19.7K,100.0%,25,0.477
1329,Enchantment Quick Bite 1,3.17M,3.76M,538.9K,15.6%,51,0.476
1330,Enchantment Tabasco 2,3.34M,6.43M,3.01M,48.0%,0,0.476
1331,Enchantment Small Brain 3,3.09M,4.50M,1.35M,31.3%,5,0.475
1332,Enchanted Pufferfish,2.3K,2.5K,162,7.8%,369.6K,0.475
1333,Enchantment Big Brain 5,65.00M,82.90M,16.86M,21.6%,0,0.475
1334,Enchantment Counter Strike 5,31.60M,42.90M,10.77M,26.4%,0,0.475
1335,Griffin Upgrade Stone Rare,5.20M,8.00M,2.70M,35.0%,2,0.474
1336,Jungle Heart,89.1K,101.8K,11.4K,12.5%,2.6K,0.474
1337,Refined Tungsten,2.89M,2.98M,54.4K,3.1%,10.8K,0.474
1338,Poisonous Potato,2,15,12,84.4%,28.5K,0.474
1339,Perfect Ruby Gem,10.22M,10.93M,577.3K,6.5%,246,0.473
1340,Enchanted Snow Block,557,580,15,3.9%,12.79M,0.473
1341,Enchantment Strong Mana 1,177.0K,214.0K,34.3K,17.3%,446,0.472
1342,Rough Opal Gem,1,5,3,70.5%,116.3K,0.472
1343,Rough Aquamarine Gem,0,16,15,97.4%,15.8K,0.471
1344,Perfect Amethyst Gem,12.50M,13.33M,665.7K,6.2%,216,0.471
1345,Enchanted Huge Mushroom 1,249.4K,255.7K,3.1K,2.5%,199.1K,0.470
1346,Poison Sample,639.8K,682.4K,34.1K,6.2%,3.1K,0.469
1347,Enchantment Ultimate Crop Fever 5,27.82M,29.46M,1.27M,5.6%,131,0.468
1348,Overclocker 3000,240.8K,251.4K,7.5K,4.2%,27.3K,0.468
1349,Flawless Jade Gem,2.24M,2.33M,59.6K,3.8%,4.9K,0.468
1350,Umber Plate,13.93M,14.44M,332.5K,3.6%,1.1K,0.468
1351,Flawed Jasper Gem,789,1.1K,255,25.4%,15.7K,0.468
1352,Figstone,175.8K,183.0K,4.9K,3.9%,46.2K,0.467
1353,Broken Radar,759.7K,798.0K,28.4K,4.8%,5.8K,0.467
1354,Enchanted Rabbit Hide,720,792,61,9.1%,467.0K,0.467
1355,Rough Jasper Gem,6,27,20,76.5%,16.2K,0.466
1356,Enchantment Vampirism 6,1.20M,1.28M,67.0K,6.5%,1.4K,0.466
1357,Rarefinder Garden Chip,986.0K,1.02M,20.0K,3.2%,17.2K,0.466
1358,Shard Dodo,1.11M,1.29M,160.8K,13.7%,123,0.465
1359,Potato Spreading,0,16,15,99.4%,10.5K,0.464
1360,Enchantment Ultimate Flash 1,5.27M,5.55M,208.0K,5.0%,711,0.463
1361,Null Ovoid,145.4K,152.3K,5.0K,4.5%,26.8K,0.463
1362,Enchantment Sharpness 7,90.00M,94.03M,2.85M,4.3%,74,0.460
1363,Divan Fragment,572.6K,594.9K,14.8K,3.7%,11.1K,0.457
1364,Tungsten,76,134,56,43.1%,12.6K,0.456
1365,Enchantment Pristine 5,18.40M,21.00M,2.33M,12.4%,8,0.455
1366,Enchantment Scuba 5,2.30M,2.78M,445.2K,17.3%,18,0.454
1367,Rough Amber Gem,2,3,1,46.0%,254.2K,0.454
1368,Flexbone,571.0K,590.0K,11.6K,3.2%,16.4K,0.453
1369,Refined Mithril,463.9K,475.0K,5.2K,2.3%,59.4K,0.451
1370,Enchanted Cooked Fish,146.6K,152.1K,3.6K,3.6%,33.3K,0.451
1371,Dark Candy,69.0K,74.5K,4.5K,7.3%,5.8K,0.448
1372,Skeleton Key,35.51M,36.34M,371.1K,2.3%,1.0K,0.448
1373,Perfect Plate,34.08M,35.68M,1.15M,4.5%,87,0.447
1374,Shard Terra,227.5K,267.0K,36.2K,14.8%,185,0.447
1375,Enchantment Ultimate Crop Fever 1,1.74M,1.83M,67.2K,4.9%,954,0.446
1376,Gemstone Mixture,1.24M,1.26M,13.6K,2.3%,18.8K,0.445
1377,Flawed Onyx Gem,285,397,107,28.3%,9.9K,0.444
1378,Tarantula Silk,273.0K,278.7K,2.2K,2.0%,129.8K,0.443
1379,Mimic Fragment,1.0K,1.4K,360,27.4%,3.2K,0.443
1380,Hypergolic Ionized Ceramics,2.9K,3.7K,804,22.7%,2.1K,0.442
1381,Refined Diamond,607.4K,622.1K,6.9K,2.4%,29.7K,0.442
1382,Enchanted Clownfish,3.0K,3.2K,169,6.5%,108.6K,0.440
1383,Refined Umber,2.85M,2.91M,24.3K,2.1%,10.8K,0.440
1384,Enchanted Emerald Block,102.2K,106.0K,2.5K,3.6%,27.1K,0.438
1385,Fine Citrine Gem,25.4K,26.2K,484,3.1%,165.6K,0.437
1386,Enchanted Vinesap,220.0K,231.6K,8.7K,5.0%,4.2K,0.437
1387,Enchanted Cactus,100.1K,102.3K,958,2.2%,174.4K,0.437
1388,Enchanted Hay Bale,150.4K,153.2K,860,1.8%,275.3K,0.436
1389,Box Of Seeds,75.4K,76.8K,439,1.8%,449.6K,0.433
1390,Ice Bait,0,0,0,20.0%,949.4K,0.433
1391,Enchanted Melon,307,317,6,3.2%,7.36M,0.433
1392,Enchanted Mycelium Cube,126.3K,131.3K,3.3K,3.8%,14.9K,0.433
1393,Evergreen Garden Chip,146.9K,151.6K,2.8K,3.1%,24.3K,0.431
1394,Glacite,9,10,1,14.9%,1.07M,0.430
1395,Fine Topaz Gem,30.0K,31.0K,565,3.1%,99.8K,0.429
1396,Flawed Citrine Gem,284,319,31,11.1%,105.1K,0.429
1397,Enchantment Cayenne 5,15.00M,18.15M,2.92M,17.3%,0,0.428
1398,Mithril Infusion,3.86M,4.00M,91.8K,3.5%,592,0.427
1399,Pet Item Vampire Fang,464.7K,502.0K,31.1K,7.4%,350,0.426
1400,Goblin Egg Blue,1.10M,1.13M,19.2K,2.9%,3.6K,0.426
1401,Shard Tiamat,225.0K,237.0K,9.0K,5.1%,2.2K,0.425
1402,Enchantment Hardened Mana 1,28.3K,34.8K,6.1K,18.7%,208,0.423
1403,Enchanted Sulphur Cube,249.9K,255.1K,2.0K,2.0%,50.4K,0.421
1404,Synthesis Garden Chip,146.0K,150.3K,2.4K,2.9%,19.9K,0.420
1405,Drill Engine,3.12M,3.21M,41.3K,2.5%,1.9K,0.420
1406,Whipped Magma Cream,200.2K,205.4K,2.6K,2.5%,24.9K,0.420
1407,Shard Hideonsack,890.0K,929.0K,27.4K,4.2%,774,0.415
1408,Enchanted Tungsten,16.9K,17.3K,151,2.1%,373.8K,0.414
1409,Enchantment Divine Gift 3,99.00M,105.00M,4.69M,5.7%,3,0.412
1410,Enchanted Cooked Salmon,248.5K,256.0K,4.3K,2.9%,6.6K,0.408
1411,Enchanted Cooked Mutton,125.7K,128.5K,1.2K,2.2%,36.0K,0.407
1412,Enchantment Divine Gift 1,24.50M,25.93M,1.11M,5.5%,8,0.402
1413,Dark Queens Soul Drop,5.0K,5.4K,378,8.2%,5.7K,0.402
1414,The Art Of Peace,49.60M,51.40M,1.16M,3.5%,18,0.401
1415,Enchanted Wet Sponge,77.7K,80.0K,1.2K,2.8%,15.6K,0.400
1416,Fine Aquamarine Gem,25.4K,25.9K,218,2.1%,119.7K,0.396
1417,Enchanted Bone Block,51.3K,53.5K,1.4K,4.0%,5.2K,0.394
1418,Enchanted Clay Block,75.5K,76.6K,173,1.5%,274.1K,0.394
1419,Enchanted Pumpkin,1.6K,1.6K,0,1.3%,13.32M,0.366
1420,Enchantment Ultimate Bank 1,0,0,0,33.3%,4.5K,0.337
